Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;56.5;Apartamento
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200.0;4020.0;1111.0;68.87333333333333;Apartamento
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;80.66666666666667;Apartamento
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;21.458333333333332;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;32.36;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;29.333333333333332;Casa
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;15.384615384615385;Casa
Conjunto Comercial/Sala;Centro;0;3;0;695;35000.0;19193.0;3030.0;82.33525179856115;Apartamento
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;31.65714285714286;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;21.877777777777776;Apartamento
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;65.275;Apartamento
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;85.22222222222223;Apartamento
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;65.03292181069959;Apartamento
Prédio Inteiro;Botafogo;0;0;0;536;28000.0;0.0;3563.0;58.88619402985075;Apartamento
Flat;Botafogo;3;1;1;80;3800.0;1040.0;0.0;60.5;Apartamento
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;17.391304347826086;Casa
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;23.666666666666668;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;36.35820895522388;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;24.89090909090909;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;21.877682403433475;Casa
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;24.558823529411764;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;34.61538461538461;Apartamento
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0;141.07142857142858;Apartamento
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100.0;600.0;0.0;68.0;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;76.504;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;32.229166666666664;Apartamento
Loja/Salão;Campo Grande;0;1;0;35;1300.0;950.0;0.0;64.28571428571429;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;35.42857142857143;Apartamento
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;30.0;Casa
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;42.63157894736842;Apartamento
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;33.99470899470899;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;42.77777777777778;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;700.0;0.0;0.0;31.818181818181817;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;28.076190476190476;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;50.18181818181818;Apartamento
Conjunto Comercial/Sala;Centro;0;5;0;1306;117540.0;19486.0;0.0;104.92036753445636;Apartamento
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;64.18518518518519;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;28.88;Apartamento
