Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;80.66666666666667;Apartamento
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;21.45833333333333;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;32.36;Apartamento
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;31.65714285714286;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;21.877777777777776;Apartamento
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;65.275;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;23.666666666666668;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;36.35820895522388;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;24.89090909090909;Apartamento
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;24.558823529411764;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;34.61538461538461;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;76.504;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;32.229166666666664;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;35.42857142857143;Apartamento
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;42.63157894736842;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;42.77777777777778;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;28.07619047619048;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;50.18181818181818;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;28.88;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;43.35714285714285;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;47.540983606557376;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;63.18181818181818;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;48.22222222222222;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;29.8;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;41.94444444444444;Apartamento
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;37.77777777777778;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;36.30434782608695;Apartamento
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;42.22222222222222;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;77.85714285714286;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;52.81578947368421;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;35.144578313253014;Apartamento
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;60.35294117647059;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;54.27586206896552;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;27.488888888888887;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;34.20754716981132;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;70.77777777777777;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;28.86046511627907;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;36.82432432432432;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;34.51351351351352;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;69.33333333333333;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;80.71428571428571;Apartamento
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;54.42105263157895;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;27.666666666666668;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;59.1875;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;42.01923076923077;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;24.31111111111111;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;51.114285714285714;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;68.6590909090909;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;68.64864864864865;Apartamento
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;55.02307692307692;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;29.09090909090909;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;48.11764705882353;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;27.602564102564106;Apartamento
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;53.37037037037037;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;40.289855072463766;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;76.41666666666667;Apartamento
